timestamp,latitude,longitude,mpu_acc_x_g,mpu_acc_y_g,mpu_acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,adxl_acc_x_g,adxl_acc_y_g,adxl_acc_z_g,risk
2026-01-01 00:00:00,23.519999,87.309998,0.0117,0.0331,1.0001,0.641,0.086,0.095,0.0226,0.0243,1.0386,stable
2026-01-01 00:00:01,23.520001,87.309993,-0.0154,0.0194,1.0323,0.290,0.725,-0.647,0.0055,0.0346,1.0286,stable
2026-01-01 00:00:02,23.520004,87.310002,0.0385,-0.0214,1.0140,-1.721,-0.186,-0.324,0.0530,0.0416,0.9796,stable
2026-01-01 00:00:03,23.519990,87.309999,0.0062,0.0154,1.0238,0.655,0.820,0.512,-0.0071,-0.0137,0.9972,stable
2026-01-01 00:00:04,23.519997,87.310023,-0.0096,-0.0210,1.0246,0.780,0.969,1.081,0.0142,-0.0419,0.9971,stable
2026-01-01 00:00:05,23.519986,87.310000,0.0226,0.0025,1.0218,2.232,0.796,-0.141,-0.0045,-0.0183,1.0296,stable
2026-01-01 00:00:06,23.519999,87.310007,-0.0067,0.0032,0.9667,-0.079,0.633,0.941,0.0173,0.0255,1.0150,stable
2026-01-01 00:00:07,23.520009,87.310003,-0.0153,0.0391,1.0164,0.351,1.862,0.010,0.0817,0.0196,0.9912,stable
2026-01-01 00:00:08,23.519998,87.310014,0.0395,0.0327,0.9601,0.820,-0.140,-0.151,0.0179,0.0840,0.9798,stable
2026-01-01 00:00:09,23.520014,87.309996,0.0041,0.0149,0.9817,-0.593,1.008,0.227,0.1093,0.0262,1.0377,stable
2026-01-01 00:00:10,23.519999,87.310003,0.0674,-0.0384,1.0271,1.602,0.870,0.256,-0.0029,-0.0349,1.0118,stable
2026-01-01 00:00:11,23.520020,87.309994,0.0246,-0.0351,0.9987,1.034,1.458,0.199,-0.0267,0.0333,1.0219,stable
2026-01-01 00:00:12,23.519993,87.310011,0.0176,0.0330,1.0329,0.604,2.022,0.371,0.0062,0.0195,1.0449,stable
2026-01-01 00:00:13,23.520005,87.310012,-0.0004,-0.0398,1.0125,-0.111,0.997,0.590,-0.0218,0.0357,0.9981,stable
2026-01-01 00:00:14,23.520005,87.310000,-0.0074,0.0277,1.0145,0.695,1.112,-0.203,0.0332,0.0151,1.0586,stable
2026-01-01 00:00:15,23.520007,87.309997,0.0120,0.0690,1.0109,0.021,0.580,-0.070,-0.0096,0.0175,1.0010,stable
2026-01-01 00:00:16,23.519979,87.310020,0.0100,0.0643,0.9865,2.907,-0.396,-0.672,-0.0039,0.0339,1.0287,stable
2026-01-01 00:00:17,23.519997,87.309984,0.0019,0.0492,1.0109,0.347,1.419,1.501,0.0405,0.0274,0.9740,stable
2026-01-01 00:00:18,23.520000,87.310005,0.0324,-0.0023,0.9812,-0.551,0.815,-1.162,0.0047,0.0330,1.0458,stable
2026-01-01 00:00:19,23.520010,87.309996,-0.0073,-0.0082,1.0388,0.765,2.964,0.206,0.0428,0.0273,1.0089,stable
2026-01-01 00:00:20,23.520015,87.309986,0.0030,0.0249,1.0186,-1.429,-1.225,0.182,0.0139,0.0288,0.9846,stable
2026-01-01 00:00:21,23.519980,87.310003,0.0261,0.0418,1.0214,1.454,0.191,-0.172,-0.0028,-0.0084,0.9538,stable
2026-01-01 00:00:22,23.520002,87.309996,-0.0064,0.0232,1.0404,-0.031,-0.173,0.183,-0.0326,0.0100,1.0146,stable
2026-01-01 00:00:23,23.520009,87.310010,-0.0064,0.0321,0.9839,0.710,-0.313,1.425,0.0407,-0.0611,1.0201,stable
2026-01-01 00:00:24,23.520000,87.310005,0.0267,-0.0492,0.9846,1.416,1.823,1.307,-0.0642,0.0458,0.9644,stable
2026-01-01 00:00:25,23.520003,87.309989,0.0753,0.0313,0.9688,-0.210,0.389,-0.054,0.0729,-0.0419,1.0209,stable
2026-01-01 00:00:26,23.519992,87.310002,0.0211,-0.0087,1.0192,-0.380,1.710,0.700,0.0113,-0.0105,0.9916,stable
2026-01-01 00:00:27,23.519999,87.310005,0.0095,0.0305,1.0054,0.228,0.964,0.628,0.0133,-0.0194,0.9818,stable
2026-01-01 00:00:28,23.519990,87.310009,0.0136,0.0591,1.0516,-0.863,-0.005,0.180,-0.0415,0.0050,1.0133,stable
